ID,Movie Name,Rating,Genre,Votes
296,Dersu Uzala,8.2,"Adventure, Biography, Drama",31959
297,Uri: The Surgical Strike,8.2,"Action, Drama, History",67614
298,Farha,8.2,Drama,79614
299,Rangasthalam 1985,8.2,"Action, Drama",26194
300,The Lion of the Desert,8.2,"Biography, Drama, History",16569
301,A Face in the Crowd,8.2,"Drama, Music",16449
302,Shahid,8.2,"Biography, Drama",16964
303,The Mountain II,8.2,"Action, Drama, War",109227
304,Rocco and His Brothers,8.2,"Crime, Drama, Sport",20053
305,Il Sorpasso,8.2,"Comedy, Drama",11705
306,A Man Escaped,8.2,"Drama, Thriller, War",23608
307,Ugetsu,8.2,"Drama, Fantasy, War",24617
308,Life and a Day,8.2,Drama,16450
309,Late Spring,8.2,Drama,18038
310,Champion,8.2,"Biography, Drama, Romance",12644
311,Umberto D.,8.2,Drama,26858
312,Soy Cuba,8.2,Drama,10058
313,I Am a Fugitive from a Chain Gang,8.2,"Crime, Drama, Film-Noir",13916
314,Bhaag Milkha Bhaag,8.2,"Biography, Drama, Sport",69894
315,Dhuruvangal Pathinaaru,8.2,"Crime, Drama, Mystery",16262
316,Theeran Adhigaram Ondru,8.2,"Action, Crime, Thriller",15782
317,Paan Singh Tomar,8.2,"Action, Biography, Crime",37082
318,Ballad of a Soldier,8.2,"Drama, Romance, War",10903
319,Jo Jeeta Wohi Sikandar,8.2,"Comedy, Drama, Romance",23769
320,Ivan Vasilyevich Changes His Profession,8.2,"Adventure, Comedy, Sci-Fi",17498
321,Vaaranam Aayiram,8.2,"Action, Drama, Musical",13576
322,Ustad Hotel,8.2,"Comedy, Drama",15264
323,Jigarthanda,8.2,"Action, Comedy, Crime",12407
324,Pocket Hercules: Naim Süleymanoglu,8.2,"Biography, Drama, Sport",13012
325,Montevideo: Taste of a Dream,8.2,"Adventure, Comedy, Drama",12600
326,Athadu,8.2,"Action, Crime, Drama",14028
327,RangiTaranga,8.2,"Mystery, Thriller",14639
328,Prisoners,8.1,"Crime, Drama, Mystery",748917
329,Mad Max: Fury Road,8.1,"Action, Adventure, Sci-Fi",1032386
330,The Terminator,8.1,"Action, Sci-Fi",887346
331,Blade Runner,8.1,"Action, Drama, Sci-Fi",789503
332,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,"Action, Adventure, Fantasy",1156005
333,The Grand Budapest Hotel,8.1,"Adventure, Comedy, Crime",840887
334,Jaws,8.1,"Adventure, Mystery, Thriller",625693
335,Ford v Ferrari,8.1,"Action, Biography, Drama",421199
336,Gone Girl,8.1,"Drama, Mystery, Thriller",1010648
337,Hacksaw Ridge,8.1,"Biography, Drama, History",551721
338,Dead Poets Society,8.1,"Comedy, Drama",511370
339,Ratatouille,8.1,"Animation, Adventure, Comedy",769221
340,Harry Potter and the Deathly Hallows: Part 2,8.1,"Adventure, Family, Fantasy",902633
341,Catch Me If You Can,8.1,"Biography, Crime, Drama",1024319
342,The Exorcist,8.1,Horror,422312
343,The Handmaiden,8.1,"Drama, Romance, Thriller",157654
344,The Big Lebowski,8.1,"Comedy, Crime",828533
345,Stand by Me,8.1,"Adventure, Drama",418454
346,Rocky,8.1,"Drama, Sport",599834
347,The Help,8.1,Drama,473349
348,Inside Out,8.1,"Animation, Adventure, Comedy",738666
349,Logan,8.1,"Action, Drama, Sci-Fi",789690
350,Into the Wild,8.1,"Adventure, Biography, Drama",636088
351,The Wizard of Oz,8.1,"Adventure, Family, Fantasy",411210
352,The Sound of Music,8.1,"Biography, Drama, Family",245198
353,"Lock, Stock and Two Smoking Barrels",8.1,"Action, Comedy, Crime",596098
354,Fargo,8.1,"Crime, Thriller",693821
355,Trainspotting,8.1,Drama,702049
356,12 Years a Slave,8.1,"Biography, Drama, History",716881
357,How to Train Your Dragon,8.1,"Animation, Action, Adventure",763176
358,"Monsters, Inc.",8.1,"Animation, Adventure, Comedy",934294
359,Spotlight,8.1,"Biography, Crime, Drama",483121
360,Platoon,8.1,"Drama, War",423922
361,"Three Billboards Outside Ebbing, Missouri",8.1,"Comedy, Crime, Drama",527220
362,Room,8.1,"Drama, Thriller",432546
363,Rush,8.1,"Action, Biography, Drama",492039
364,The Deer Hunter,8.1,"Drama, War",347221
365,Memories of Murder,8.1,"Crime, Drama, Mystery",196610
366,Before Sunrise,8.1,"Drama, Romance",321220
367,Portrait of a Lady on Fire,8.1,Drama,99267
368,Warrior,8.1,"Action, Drama, Sport",482451
369,Gran Torino,8.1,Drama,790668
370,Raging Bull,8.1,"Biography, Drama, Sport",363818
371,Million Dollar Baby,8.1,"Drama, Sport",700868
372,The Iron Giant,8.1,"Animation, Action, Adventure",210086
373,Barry Lyndon,8.1,"Adventure, Drama, War",174140
374,My Neighbor Totoro,8.1,"Animation, Comedy, Family",353801
375,In the Mood for Love,8.1,"Drama, Romance",157230
376,Wild Tales,8.1,"Comedy, Drama, Thriller",205787
377,Cool Hand Luke,8.1,"Crime, Drama",182052
378,Hachi: A Dog's Tale,8.1,"Biography, Drama, Family",295659
379,Stalker,8.1,"Drama, Sci-Fi",138703
380,La haine,8.1,"Crime, Drama",181951
381,Network,8.1,Drama,163774
382,A Silent Voice: The Movie,8.1,"Animation, Drama",90268
383,Before Sunset,8.1,"Drama, Romance",274513
384,On the Waterfront,8.1,"Crime, Drama, Thriller",158757
385,"Paris, Texas",8.1,Drama,110880
386,Ben-Hur,8.1,"Adventure, Drama",245517
387,The Seventh Seal,8.1,"Drama, Fantasy",190225
388,The Bridge on the River Kwai,8.1,"Adventure, Drama, War",225986
389,In the Name of the Father,8.1,"Biography, Crime, Drama",180139
390,Persona,8.1,"Drama, Thriller",123926
391,Amores Perros,8.1,"Drama, Thriller",245696
392,Hotel Rwanda,8.1,"Biography, Drama, History",362327
393,The Man Who Shot Liberty Valance,8.1,"Drama, Western",79125
394,Neon Genesis Evangelion: The End of Evangelion,8.1,"Animation, Action, Drama",58801
395,Paper Moon,8.1,"Comedy, Crime, Drama",49889
396,Rebecca,8.1,"Drama, Film-Noir, Mystery",141023
397,The Third Man,8.1,"Film-Noir, Mystery, Thriller",175599
398,The Grapes of Wrath,8.1,Drama,96313
399,All Quiet on the Western Front,8.1,"Drama, War",65566
400,The Best Years of Our Lives,8.1,"Drama, Romance, War",67219
401,The Celebration,8.1,Drama,90214
402,Inherit the Wind,8.1,"Biography, Drama, History",31506
403,Mary and Max,8.1,"Animation, Comedy, Drama",181041
404,It Happened One Night,8.1,"Comedy, Romance",107504
405,Three Colors: Red,8.1,"Drama, Mystery, Romance",106474
406,PK,8.1,"Comedy, Drama, Sci-Fi",193412
407,The 400 Blows,8.1,"Crime, Drama",122393
408,Underground,8.1,"Comedy, Drama, Fantasy",59674
409,Wild Strawberries,8.1,"Drama, Romance",110195
410,Winter Sleep,8.1,Drama,53284
411,Yi Yi: A One and a Two...,8.1,"Drama, Romance",26335
412,Farewell My Concubine,8.1,"Drama, Music, Romance",30950
413,Bajrangi Bhaijaan,8.1,"Action, Adventure, Comedy",92129
414,A Woman Under the Influence,8.1,"Drama, Romance",26843
415,The Battle of Algiers,8.1,"Drama, War",62539
416,Fanny and Alexander,8.1,Drama,65497
417,Andrei Rublev,8.1,"Biography, Drama, History",55277
418,Lagaan: Once Upon a Time in India,8.1,"Drama, Musical, Sport",117077
419,The Hidden Fortress,8.1,"Action, Adventure, Drama",40519
420,Mr. Smith Goes to Washington,8.1,"Comedy, Drama",117774
